area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,area_title,own_title,industry_title,agglvl_title,size_title,qtrly_estabs_count,month1_emplvl,month2_emplvl,month3_emplvl,total_qtrly_wages,taxable_qtrly_wages,qtrly_contributions,avg_wkly_wage,lq_disclosure_code,lq_qtrly_estabs_count,lq_month1_emplvl,lq_month2_emplvl,lq_month3_emplvl,lq_total_qtrly_wages,lq_taxable_qtrly_wages,lq_qtrly_contributions,lq_avg_wkly_wage,oty_disclosure_code,oty_qtrly_estabs_count_chg,oty_qtrly_estabs_count_pct_chg,oty_month1_emplvl_chg,oty_month1_emplvl_pct_chg,oty_month2_emplvl_chg,oty_month2_emplvl_pct_chg,oty_month3_emplvl_chg,oty_month3_emplvl_pct_chg,oty_total_qtrly_wages_chg,oty_total_qtrly_wages_pct_chg,oty_taxable_qtrly_wages_chg,oty_taxable_qtrly_wages_pct_chg,oty_qtrly_contributions_chg,oty_qtrly_contributions_pct_chg,oty_avg_wkly_wage_chg,oty_avg_wkly_wage_pct_chg
1061,0,10,70,0,2017,3,,"Geneva County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,498,4887,4855,4893,38952700,3962231,45914,614,,1,1,1,1,1,1,1,1,,13,2.7,-63,-1.3,-108,-2.2,-69,-1.4,-730284,-1.8,16436,0.4,1476,3.3,-2,-0.3
1063,0,10,70,0,2017,3,,"Greene County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,159,1727,1784,1791,14273785,1213533,25322,621,,1,1,1,1,1,1,1,1,,-2,-1.2,26,1.5,49,2.8,18,1,-92386,-0.6,-160516,-11.7,-5227,-17.1,-15,-2.4
1065,0,10,70,0,2017,3,,"Hale County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,279,2630,2692,2716,23636264,1587825,19704,679,,1,1,1,1,1,1,1,1,,14,5.3,-50,-1.9,-35,-1.3,-38,-1.4,-664230,-2.7,-191201,-10.7,-8264,-29.5,-8,-1.2
1067,0,10,70,0,2017,3,,"Henry County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,336,3259,3253,3275,39141169,2510885,28611,923,,1,1,1,1,1,1,1,1,,6,1.8,58,1.8,3,0.1,6,0.2,-152838,-0.4,-51062,-2,-12723,-30.8,-10,-1.1
1069,0,10,70,0,2017,3,,"Houston County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,2956,47622,47858,47667,477755331,41940806,575423,770,,1,1,1,1,1,1,1,1,,31,1.1,874,1.9,868,1.8,778,1.7,1076477,0.2,-51462,-0.1,-44449,-7.2,-12,-1.5
1071,0,10,70,0,2017,3,,"Jackson County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,974,15596,15597,15695,137397883,12549857,188805,676,,1,1,1,1,1,1,1,1,,11,1.1,-607,-3.7,-631,-3.9,-552,-3.4,-4049434,-2.9,-825289,-6.2,-56647,-23.1,5,0.7
1073,0,10,70,0,2017,3,,"Jefferson County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,18665,344250,344281,344249,4429573266,276209924,3982663,990,,1,1,1,1,1,1,1,1,,425,2.3,2777,0.8,3278,1,3152,0.9,-44678079,-1,-887514,-0.3,-256824,-6.1,-19,-1.9
1075,0,10,70,0,2017,3,,"Lamar County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,284,3377,3542,3508,32792449,2524620,36819,726,,1,1,1,1,1,1,1,1,,8,2.9,-45,-1.3,131,3.8,72,2.1,851933,2.7,317956,14.4,4014,12.2,8,1.1
1077,0,10,70,0,2017,3,,"Lauderdale County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,2083,29192,29487,29576,248185653,27690946,407533,649,,1,1,1,1,1,1,1,1,,9,0.4,173,0.6,9,0,-80,-0.3,-2225359,-0.9,-196930,-0.7,-43938,-9.7,-7,-1.1
1079,0,10,70,0,2017,3,,"Lawrence County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,441,4660,4670,4812,38447598,3597954,52069,627,,1,1,1,1,1,1,1,1,,9,2.1,112,2.5,74,1.6,112,2.4,108343,0.3,595,0,-4418,-7.8,-12,-1.9
1081,0,10,70,0,2017,3,,"Lee County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,3159,57835,58252,58801,536691173,50107433,623297,708,,1,1,1,1,1,1,1,1,,69,2.2,887,1.6,780,1.4,833,1.4,10583083,2,-4338805,-8,-127007,-16.9,4,0.6
1083,0,10,70,0,2017,3,,"Limestone County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,1446,22521,22937,23630,258844699,20484217,562041,865,,1,1,1,1,1,1,1,1,,39,2.8,656,3,1044,4.8,1028,4.5,18574653,7.7,4240596,26.1,272683,94.2,29,3.5
1085,0,10,70,0,2017,3,,"Lowndes County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,164,2284,2327,2295,24201055,1487618,23956,809,,1,1,1,1,1,1,1,1,,2,1.2,-154,-6.3,-44,-1.9,-70,-3,-2672825,-9.9,-119521,-7.4,-13519,-36.1,-55,-6.4
1087,0,10,70,0,2017,3,,"Macon County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,235,4746,4882,4873,48947861,2282275,35502,779,,1,1,1,1,1,1,1,1,,4,1.7,176,3.9,153,3.2,-7,-0.1,-1609108,-3.2,-31429,-1.4,-2312,-6.1,-44,-5.3
1089,0,10,70,0,2017,3,,"Madison County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,9608,194904,195808,195547,2802200077,150363127,2285427,1103,,1,1,1,1,1,1,1,1,,175,1.9,4786,2.5,3455,1.8,2458,1.3,7773112,0.3,-3660760,-2.4,-348771,-13.2,-17,-1.5
1091,0,10,70,0,2017,3,,"Marengo County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,518,7054,6888,6928,66148977,4831176,69658,731,,1,1,1,1,1,1,1,1,,-1,-0.2,199,2.9,85,1.2,164,2.4,-715881,-1.1,198599,4.3,1951,2.9,-25,-3.3
1093,0,10,70,0,2017,3,,"Marion County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,628,9773,9757,9992,82396914,8431329,155263,644,,1,1,1,1,1,1,1,1,,13,2.1,90,0.9,26,0.3,130,1.3,-1142013,-1.4,320690,4,-9637,-5.8,-14,-2.1
1095,0,10,70,0,2017,3,,"Marshall County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,2081,36399,36666,36697,315849898,32494416,427431,664,,1,1,1,1,1,1,1,1,,45,2.2,532,1.5,512,1.4,318,0.9,2519100,0.8,-361029,-1.1,-71609,-14.3,-3,-0.4
1097,0,10,70,0,2017,3,,"Mobile County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,10205,168650,169819,170549,1927949538,148570211,2849272,874,,1,1,1,1,1,1,1,1,,229,2.3,238,0.1,1396,0.8,1288,0.8,-15997067,-0.8,3008149,2.1,33761,1.2,-12,-1.4
1099,0,10,70,0,2017,3,,"Monroe County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,445,6163,6125,6112,63248040,4291445,59765,793,,1,1,1,1,1,1,1,1,,4,0.9,-20,-0.3,-63,-1,19,0.3,-568221,-0.9,-1831,0,2533,4.4,-5,-0.6
1101,0,10,70,0,2017,3,,"Montgomery County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,6426,131594,132451,132707,1417788440,95131299,1501477,825,,1,1,1,1,1,1,1,1,,62,1,243,0.2,1232,0.9,1270,1,-48353086,-3.3,-1041414,-1.1,-67205,-4.3,-34,-4
1103,0,10,70,0,2017,3,,"Morgan County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,2803,47145,47148,46897,505950375,41439989,670083,827,,1,1,1,1,1,1,1,1,,22,0.8,410,0.9,337,0.7,331,0.7,-195859,0,-3593407,-8,-67176,-9.1,-7,-0.8
1105,0,10,70,0,2017,3,,"Perry County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,153,2049,2091,2122,15739356,1321328,18094,580,,1,1,1,1,1,1,1,1,,-2,-1.3,15,0.7,-11,-0.5,25,1.2,-96597,-0.6,-93772,-6.6,-3412,-15.9,-6,-1
1107,0,10,70,0,2017,3,,"Pickens County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,342,3829,3892,3866,34916202,2428324,26204,695,,1,1,1,1,1,1,1,1,,5,1.5,61,1.6,87,2.3,39,1,9895,0,-624965,-20.5,-14037,-34.9,-12,-1.7
1109,0,10,70,0,2017,3,,"Pike County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,688,14069,14390,14540,139680457,10977106,161769,750,,1,1,1,1,1,1,1,1,,-4,-0.6,341,2.5,580,4.2,586,4.2,1166295,0.8,-106238,-1,-27323,-14.4,-20,-2.6
1111,0,10,70,0,2017,3,,"Randolph County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,380,4736,4767,4836,38499157,3369552,41705,620,,1,1,1,1,1,1,1,1,,10,2.7,164,3.6,153,3.3,194,4.2,820055,2.2,19017,0.6,-8266,-16.5,-9,-1.4
1113,0,10,70,0,2017,3,,"Russell County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,907,13959,14067,14033,125706785,12329356,173338,690,,1,1,1,1,1,1,1,1,,11,1.2,351,2.6,389,2.8,152,1.1,1609719,1.3,-325238,-2.6,-4637,-2.6,-6,-0.9
1115,0,10,70,0,2017,3,,"St. Clair County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,1501,19557,19595,19589,179101119,16507006,228896,704,,1,1,1,1,1,1,1,1,,43,2.9,-33,-0.2,-103,-0.5,88,0.5,-1368607,-0.8,-3283190,-16.6,-94768,-29.3,-4,-0.6
1117,0,10,70,0,2017,3,,"Shelby County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,5838,85000,85320,85808,1060582330,82588806,1325624,956,,1,1,1,1,1,1,1,1,,154,2.7,1346,1.6,1524,1.8,1456,1.7,3650879,0.3,5363382,6.9,87593,7.1,-13,-1.3
1119,0,10,70,0,2017,3,,"Sumter County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,232,2882,2863,2915,27279444,1653151,28564,727,,1,1,1,1,1,1,1,1,,-4,-1.7,-57,-1.9,-208,-6.8,-173,-5.6,-981052,-3.5,-210983,-11.3,-8106,-22.1,10,1.4
1121,0,10,70,0,2017,3,,"Talladega County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,1361,28815,28951,28866,319346754,22670755,353045,851,,1,1,1,1,1,1,1,1,,36,2.7,-13,0,-35,-0.1,-319,-1.1,-8111784,-2.5,-179015,-0.8,-21045,-5.6,-18,-2.1
1123,0,10,70,0,2017,3,,"Tallapoosa County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,837,13491,13551,13261,107316491,13012999,178515,614,,1,1,1,1,1,1,1,1,,12,1.5,-32,-0.2,-27,-0.2,-499,-3.6,-7421108,-6.5,-1245563,-8.7,-44099,-19.8,-34,-5.2
1125,0,10,70,0,2017,3,,"Tuscaloosa County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,4591,91382,92848,94003,1001515971,72872907,1047385,831,,1,1,1,1,1,1,1,1,,115,2.6,710,0.8,813,0.9,897,1,17128242,1.7,-2603154,-3.4,-131275,-11.1,7,0.8
1127,0,10,70,0,2017,3,,"Walker County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,1375,17906,17867,18059,163600183,15284236,214051,701,,1,1,1,1,1,1,1,1,,31,2.3,-17,-0.1,17,0.1,37,0.2,625394,0.4,930665,6.5,7199,3.5,2,0.3
1129,0,10,70,0,2017,3,,"Washington County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,260,3505,3489,3584,51356654,1885404,33204,1120,,1,1,1,1,1,1,1,1,,3,1.2,2,0.1,-8,-0.2,1,0,1142334,2.3,223555,13.5,2765,9.1,25,2.3
1131,0,10,70,0,2017,3,,"Wilcox County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,239,2871,2894,2810,29787557,1740269,24810,802,,1,1,1,1,1,1,1,1,,14,6.2,125,4.6,103,3.7,108,4,77800,0.3,-29564,-1.7,-1824,-6.8,-30,-3.6
1133,0,10,70,0,2017,3,,"Winston County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,489,7595,7608,7736,66438217,7361211,110966,668,,1,1,1,1,1,1,1,1,,14,2.9,152,2,122,1.6,118,1.5,1590781,2.5,-851160,-10.4,-19436,-14.9,4,0.6
1999,0,10,70,0,2017,3,,"Unknown Or Undefined, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,13042,49283,49879,51654,844417347,71423453,1478215,1292,,1,1,1,1,1,1,1,1,,851,7,-197,-0.4,371,0.7,923,1.8,15322187,1.8,-2843778,-3.8,-178446,-10.8,14,1.1
2000,0,10,50,0,2017,3,,Alaska -- Statewide,Total Covered,"10 Total, all industries","State, Total Covered",All establishment sizes,22158,338061,340510,335445,4505202185,1840424900,33261737,1025,,1,1,1,1,1,1,1,1,,-39,-0.2,-3066,-0.9,-1881,-0.5,-2489,-0.7,-164632871,-3.5,-44524551,-2.4,-5432843,-14,-30,-2.8
2013,0,10,70,0,2017,3,,"Aleutians East Borough, Alaska",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,102,3405,3363,2741,48737387,39075675,832949,1183,,1,1,1,1,1,1,1,1,,-2,-1.9,43,1.3,40,1.2,91,3.4,4794761,10.9,5488166,16.3,289,0,97,8.9
2016,0,10,70,0,2017,3,,"Aleutians West Census Area, Alaska",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,179,3551,3588,3193,54362796,30779735,619650,1214,,1,1,1,1,1,1,1,1,,10,5.9,-525,-12.9,-521,-12.7,-689,-17.7,-11690963,-17.7,-10456209,-25.4,-347145,-35.9,-49,-3.9
2020,0,10,70,0,2017,3,,"Anchorage Municipality, Alaska",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,8306,148713,150043,151543,2074818404,776056975,13231611,1063,,1,1,1,1,1,1,1,1,,-10,-0.1,-1472,-1,-1229,-0.8,-2073,-1.3,-98013928,-4.5,-33679853,-4.2,-2136006,-13.9,-39,-3.5
2050,0,10,70,0,2017,3,,"Bethel Census Area, Alaska",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,351,7046,7026,7098,76432152,37455104,681210,833,,1,1,1,1,1,1,1,1,,-18,-4.9,-15,-0.2,-19,-0.3,-78,-1.1,-1051696,-1.4,-1711324,-4.4,-150068,-18.1,-7,-0.8
2060,0,10,70,0,2017,3,,"Bristol Bay Borough, Alaska",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,116,4098,1313,953,30955582,24675590,533635,1123,,1,1,1,1,1,1,1,1,,-2,-1.7,-256,-5.9,-233,-15.1,124,15,-2516073,-7.5,-2037407,-7.6,-141802,-21,-25,-2.2
2068,0,10,70,0,2017,3,,"Denali Borough, Alaska",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,140,3970,3916,3447,40566753,26702933,600317,826,,1,1,1,1,1,1,1,1,,9,6.9,34,0.9,18,0.5,118,3.5,769663,1.9,338297,1.3,-63247,-9.5,3,0.4
2070,0,10,70,0,2017,3,,"Dillingham Census Area, Alaska",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,159,3724,3354,2619,43960041,29450252,596014,1046,,1,1,1,1,1,1,1,1,,3,1.9,459,14.1,253,8.2,142,5.7,9448334,27.4,7681327,35.3,-126064,-17.5,145,16.1
2090,0,10,70,0,2017,3,,"Fairbanks North Star Borough, Alaska",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,2306,36870,38307,37739,488643516,190182458,3339690,999,,1,1,1,1,1,1,1,1,,29,1.3,-289,-0.8,-603,-1.5,-263,-0.7,-22129237,-4.3,120986,0.1,-491168,-12.8,-34,-3.3
2100,0,10,70,0,2017,3,,"Haines Borough, Alaska",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,158,1419,1415,1241,13268410,9513038,193194,751,,1,1,1,1,1,1,1,1,,-5,-3.1,47,3.4,66,4.9,99,8.7,1562466,13.3,1398244,17.2,9339,5.1,52,7.4
