date,beePop,state
1981,87,Washington
1981,67,West Virginia
1981,125,Wisconsin
1981,44,Wyoming
1986,41,Alabama
1986,77,Arizona
1986,21,Arkansas
1986,520,California
1986,41,Colorado
1986,3,Connecticut
1986,1,Delaware
1986,290,Florida
1986,115,Georgia
1986,9,Hawaii
1986,100,Idaho
1986,30,Illinois
1986,27,Indiana
1986,40,Iowa
1986,47,Kansas
1986,15,Kentucky
1986,35,Louisiana
1986,9,Maine
1986,8,Maryland
1986,10,Massachusetts
1986,80,Michigan
1986,136,Minnesota
1986,23,Mississippi
1986,30,Missouri
1986,110,Montana
1986,100,Nebraska
1986,9,Nevada
1986,1,New Hampshire
1986,16,New Jersey
1986,19,New Mexico
1986,18,New York
1986,290,North Carolina
1986,92,North Dakota
1986,59,Ohio
1986,15,Oklahoma
1986,59,Oregon
1986,50,Pennsylvania
1986,1,Rhode Island
1986,15,South Carolina
1986,201,South Dakota
1986,36,Tennessee
1986,117,Texas
1986,35,Utah
1986,7,Vermont
1986,30,Virginia
1986,75,Washington
1986,85,West Virginia
1986,17,Wisconsin
1986,40,Wyoming
1987,42,Alabama
1987,73,Arizona
1987,34,Arkansas
1987,520,California
1987,48,Colorado
1987,2,Connecticut
1987,1,Delaware
1987,240,Florida
1987,115,Georgia
1987,9,Hawaii
1987,112,Idaho
1987,28,Illinois
1987,29,Indiana
1987,49,Iowa
1987,42,Kansas
1987,12,Kentucky
1987,38,Louisiana
1987,14,Maine
1987,7,Maryland
1987,15,Massachusetts
1987,83,Michigan
1987,150,Minnesota
1987,21,Mississippi
1987,30,Missouri
1987,105,Montana
1987,113,Nebraska
1987,9,Nevada
1987,1,New Hampshire
1987,30,New Jersey
1987,21,New Mexico
1987,94,New York
1987,21,North Carolina
1987,230,North Dakota
1987,50,Ohio
1987,10,Oklahoma
1987,60,Oregon
1987,45,Pennsylvania
1987,1,Rhode Island
1987,14,South Carolina
1987,245,South Dakota
1987,35,Tennessee
1987,114,Texas
1987,36,Utah
1987,7,Vermont
1987,25,Virginia
1987,65,Washington
1987,30,West Virginia
1987,83,Wisconsin
1987,39,Wyoming
1988,42,Alabama
1988,73,Arizona
1988,34,Arkansas
1988,520,California
1988,48,Colorado
1988,2,Connecticut
1988,1,Delaware
1988,240,Florida
1988,115,Georgia
1988,9,Hawaii
1988,112,Idaho
1988,28,Illinois
1988,29,Indiana
1988,49,Iowa
1988,42,Kansas
1988,12,Kentucky
1988,38,Louisiana
1988,14,Maine
1988,7,Maryland
1988,15,Massachusetts
1988,83,Michigan
1988,150,Minnesota
1988,21,Mississippi
1988,30,Missouri
1988,105,Montana
1988,113,Nebraska
1988,9,Nevada
1988,1,New Hampshire
1988,30,New Jersey
1988,21,New Mexico
1988,94,New York
1988,21,North Carolina
1988,230,North Dakota
1988,50,Ohio
1988,10,Oklahoma
1988,60,Oregon
1988,45,Pennsylvania
1988,1,Rhode Island
1988,14,South Carolina
1988,245,South Dakota
1988,35,Tennessee
1988,114,Texas
1988,36,Utah
1988,7,Vermont
1988,25,Virginia
1988,65,Washington
1988,30,West Virginia
1988,83,Wisconsin
1988,39,Wyoming
1989,41,Alabama
1989,71,Arizona
1989,34,Arkansas
1989,535,California
1989,50,Colorado
1989,2,Connecticut
1989,1,Delaware
1989,235,Florida
1989,116,Georgia
1989,9,Hawaii
1989,105,Idaho
1989,29,Illinois
1989,28,Indiana
1989,61,Iowa
1989,35,Kansas
1989,12,Kentucky
1989,35,Louisiana
1989,17,Maine
1989,9,Maryland
1989,8,Massachusetts
1989,93,Michigan
1989,155,Minnesota
1989,24,Mississippi
1989,33,Missouri
1989,100,Montana
1989,119,Nebraska
1989,15,Nevada
1989,1,New Hampshire
1989,25,New Jersey
1989,22,New Mexico
1989,94,New York
1989,25,North Carolina
1989,290,North Dakota
1989,53,Ohio
1989,9,Oklahoma
1989,63,Oregon
1989,41,Pennsylvania
1989,1,Rhode Island
1989,15,South Carolina
1989,230,South Dakota
1989,25,Tennessee
1989,134,Texas
1989,43,Utah
1989,6,Vermont
1989,23,Virginia
1989,66,Washington
1989,32,West Virginia
1989,101,Wisconsin
1989,40,Wyoming
1990,29,Alabama
1990,0.45,Alaska
1990,67,Arizona
1990,31,Arkansas
1990,480,California
1990,55,Colorado
1990,2,Connecticut
1990,1,Delaware
1990,220,Florida
1990,111,Georgia
1990,10,Hawaii
1990,140,Idaho
1990,19,Illinois
1990,22,Indiana
1990,70,Iowa
1990,36,Kansas
1990,8,Kentucky
1990,38,Louisiana
1990,18,Maine
1990,7,Maryland
1990,15,Massachusetts
1990,100,Michigan
1990,170,Minnesota
1990,24,Mississippi
1990,30,Missouri
1990,95,Montana
1990,118,Nebraska
1990,17,Nevada
1990,1,New Hampshire
1990,15,New Jersey
1990,29,New Mexico
1990,81,New York
1990,20,North Carolina
1990,210,North Dakota
1990,40,Ohio
1990,9,Oklahoma
1990,61,Oregon
1990,41,Pennsylvania
1990,1,Rhode Island
1990,12,South Carolina
1990,245,South Dakota
1990,19,Tennessee
1990,140,Texas
1990,47,Utah
1990,6,Vermont
1990,16,Virginia
1990,80,Washington
1990,30,West Virginia
1990,112,Wisconsin
1990,40,Wyoming
1991,20,Alabama
1991,75,Arizona
1991,47,Arkansas
1991,520,California
1991,50,Colorado
1991,225,Florida
1991,102,Georgia
1991,10,Hawaii
1991,140,Idaho
1991,21,Illinois
1991,21,Indiana
1991,92,Iowa
1991,35,Kansas
1991,7,Kentucky
1991,40,Louisiana
1991,13,Maine
1991,7,Maryland
1991,105,Michigan
1991,180,Minnesota
1991,28,Mississippi
1991,28,Missouri
1991,86,Montana
1991,108,Nebraska
1991,15,Nevada
1991,11,New Jersey
1991,20,New Mexico
1991,77,New York
1991,18,North Carolina
1991,215,North Dakota
1991,48,Ohio
1991,9,Oklahoma
1991,56,Oregon
1991,40,Pennsylvania
1991,11,South Carolina
1991,225,South Dakota
1991,14,Tennessee
1991,140,Texas
1991,45,Utah
1991,6,Vermont
1991,16,Virginia
1991,85,Washington
1991,26,West Virginia
1991,110,Wisconsin
1991,41,Wyoming
1992,25,Alabama
1992,79,Arizona
1992,45,Arkansas
1992,479,California
1992,52,Colorado
1992,220,Florida
1992,85,Georgia
1992,9,Hawaii
1992,135,Idaho
1992,16,Illinois
1992,15,Indiana
1992,56,Iowa
1992,28,Kansas
1992,4,Kentucky
1992,45,Louisiana
1992,15,Maine
1992,6,Maryland
1992,95,Michigan
1992,190,Minnesota
1992,25,Mississippi
1992,25,Missouri
1992,87,Montana
1992,96,Nebraska
1992,15,Nevada
1992,8,New Jersey
1992,18,New Mexico
1992,70,New York
1992,15,North Carolina
1992,240,North Dakota
1992,43,Ohio
1992,9,Oklahoma
1992,52,Oregon
1992,30,Pennsylvania
1992,11,South Carolina
1992,240,South Dakota
1992,7,Tennessee
1992,125,Texas
1992,47,Utah
1992,6,Vermont
1992,13,Virginia
1992,80,Washington
1992,23,West Virginia
1992,105,Wisconsin
1992,41,Wyoming
1993,19,Alabama
1993,55,Arizona
1993,50,Arkansas
1993,500,California
1993,53,Colorado
1993,200,Florida
1993,80,Georgia
1993,9,Hawaii
1993,133,Idaho
1993,15,Illinois
1993,12,Indiana
1993,60,Iowa
1993,23,Kansas
1993,4,Kentucky
1993,47,Louisiana
1993,15,Maine
1993,7,Maryland
1993,90,Michigan
1993,180,Minnesota
1993,17,Mississippi
1993,24,Missouri
1993,87,Montana
1993,83,Nebraska
1993,14,Nevada
1993,9,New Jersey
1993,18,New Mexico
1993,65,New York
1993,15,North Carolina
1993,220,North Dakota
1993,35,Ohio
1993,6,Oklahoma
1993,53,Oregon
1993,28,Pennsylvania
1993,11,South Carolina
1993,240,South Dakota
1993,8,Tennessee
1993,105,Texas
1993,42,Utah
1993,6,Vermont
1993,10,Virginia
1993,60,Washington
1993,20,West Virginia
1993,100,Wisconsin
1993,34,Wyoming
1994,18,Alabama
1994,47,Arkansas
1994,50,Arizona
1994,400,California
1994,45,Colorado
1994,230,Florida
1994,80,Georgia
1994,11,Hawaii
1994,127,Idaho
1994,13,Illinois
1994,13,Indiana
1994,55,Iowa
1994,19,Kansas
1994,3,Kentucky
1994,35,Louisiana
1994,8,Maine
1994,7,Maryland
1994,90,Michigan
1994,170,Minnesota
1994,19,Mississippi
1994,25,Missouri
1994,119,Montana
1994,72,Nebraska
1994,14,Nevada
1994,9,New Jersey
1994,19,New Mexico
1994,68,New York
1994,15,North Carolina
1994,235,North Dakota
1994,27,Ohio
1994,5,Oklahoma
1994,50,Oregon
1994,27,Pennsylvania
1994,10,South Carolina
1994,260,South Dakota
1994,6,Tennessee
1994,103,Texas
1994,43,Utah
1994,5,Vermont
1994,11,Virginia
1994,60,Washington
1994,20,West Virginia
1994,75,Wisconsin
1994,46,Wyoming
1995,16,Alabama
1995,52,Arizona
1995,50,Arkansas
1995,420,California
1995,45,Colorado
1995,230,Florida
1995,70,Georgia
1995,8,Hawaii
1995,125,Idaho
1995,11,Illinois
1995,12,Indiana
1995,50,Iowa
1995,17,Kansas
1995,3,Kentucky
1995,33,Louisiana
1995,11,Maine
1995,7,Maryland
1995,97,Michigan
1995,165,Minnesota
1995,16,Mississippi
1995,23,Missouri
1995,106,Montana
1995,60,Nebraska
1995,9,Nevada
1995,8,New Jersey
1995,19,New Mexico
1995,70,New York
1995,12,North Carolina
1995,220,North Dakota
1995,24,Ohio
1995,5,Oklahoma
1995,52,Oregon
1995,25,Pennsylvania
1995,9,South Carolina
1995,240,South Dakota
1995,4,Tennessee
1995,84,Texas
1995,32,Utah
1995,5,Vermont
1995,9,Virginia
1995,60,Washington
1995,13,West Virginia
1995,73,Wisconsin
1995,38,Wyoming
1996,15,Alabama
1996,32,Arizona
1996,40,Arkansas
1996,390,California
1996,30,Colorado
1996,240,Florida
1996,75,Georgia
1996,8,Hawaii
1996,110,Idaho
1996,11,Illinois
1996,9,Indiana
1996,58,Iowa
1996,16,Kansas
1996,3,Kentucky
1996,37,Louisiana
1996,9,Maine
1996,7,Maryland
1996,90,Michigan
1996,150,Minnesota
1996,17,Mississippi
1996,22,Missouri
1996,117,Montana
1996,65,Nebraska
1996,14,Nevada
1996,5,New Jersey
1996,15,New Mexico
1996,68,New York
1996,12,North Carolina
1996,230,North Dakota
1996,24,Ohio
1996,4,Oklahoma
1996,55,Oregon
1996,23,Pennsylvania
1996,9,South Carolina
1996,240,South Dakota
1996,5,Tennessee
1996,82,Texas
1996,34,Utah
1996,4,Vermont
1996,7,Virginia
1996,57,Washington
1996,10,West Virginia
1996,69,Wisconsin
1996,40,Wyoming
1997,14,Alabama
1997,42,Arizona
1997,50,Arkansas
1997,420,California
1997,35,Colorado
1997,240,Florida
1997,75,Georgia
1997,9,Hawaii
1997,120,Idaho
1997,7,Illinois
1997,8,Indiana
1997,45,Iowa
1997,17,Kansas
1997,3,Kentucky
1997,44,Louisiana
1997,8,Maine
1997,6,Maryland
1997,85,Michigan
1997,145,Minnesota
1997,19,Mississippi
1997,24,Missouri
1997,107,Montana
1997,61,Nebraska
1997,14,Nevada
1997,10,New Jersey
1997,15,New Mexico
1997,72,New York
1997,8,North Carolina
1997,245,North Dakota
1997,22,Ohio
1997,4,Oklahoma
1997,50,Oregon
1997,22,Pennsylvania
1997,240,South Dakota
1997,7,Tennessee
1997,94,Texas
1997,32,Utah
1997,5,Vermont
1997,8,Virginia
1997,60,Washington
1997,8,West Virginia
1997,79,Wisconsin
1997,38,Wyoming
1998,16,Alabama
1998,55,Arizona
1998,53,Arkansas
1998,450,California
1998,27,Colorado
1998,230,Florida
1998,75,Georgia
1998,8,Hawaii
1998,120,Idaho
1998,9,Illinois
1998,9,Indiana
1998,50,Iowa
1998,16,Kansas
1998,3,Kentucky
1998,41,Louisiana
1998,10,Maine
1998,7,Maryland
1998,80,Michigan
1998,140,Minnesota
1998,18,Mississippi
1998,23,Missouri
1998,115,Montana
1998,64,Nebraska
1998,10,Nevada
1998,11,New Jersey
1998,14,New Mexico
1998,65,New York
1998,8,North Carolina
1998,230,North Dakota
1998,18,Ohio
1998,4,Oklahoma
1998,50,Oregon
1998,23,Pennsylvania
1998,225,South Dakota
1998,7,Tennessee
1998,91,Texas
1998,30,Utah
1998,6,Vermont
1998,8,Virginia
1998,58,Washington
1998,6,West Virginia
1998,89,Wisconsin
1998,46,Wyoming
1999,17,Alabama
1999,52,Arizona
1999,52,Arkansas
1999,505,California
1999,27,Colorado
1999,228,Florida
1999,65,Georgia
1999,8,Hawaii
1999,120,Idaho
1999,9,Illinois
1999,10,Indiana
1999,40,Iowa
1999,13,Kansas
1999,3,Kentucky
1999,48,Louisiana
1999,14,Maine
1999,6,Maryland
1999,73,Michigan
1999,145,Minnesota
1999,18,Mississippi
1999,24,Missouri
1999,122,Montana
1999,58,Nebraska
1999,9,Nevada
1999,10,New Jersey
1999,15,New Mexico
1999,69,New York
1999,9,North Carolina
1999,255,North Dakota
1999,20,Ohio
1999,6,Oklahoma
1999,45,Oregon
1999,25,Pennsylvania
1999,224,South Dakota
1999,8,Tennessee
1999,108,Texas
1999,26,Utah
1999,6,Vermont
1999,7,Virginia
1999,52,Washington
1999,6,West Virginia
1999,80,Wisconsin
1999,37,Wyoming
2000,16,Alabama
2000,40,Arizona
2000,55,Arkansas
2000,440,California
2000,29,Colorado
2000,232,Florida
2000,55,Georgia
2000,7,Hawaii
2000,100,Idaho
2000,8,Illinois
2000,8,Indiana
2000,30,Iowa
2000,15,Kansas
2000,3,Kentucky
2000,43,Louisiana
2000,11,Maine
2000,6,Maryland
2000,72,Michigan
2000,150,Minnesota
2000,17,Mississippi
2000,23,Missouri
2000,124,Montana
2000,50,Nebraska
2000,10,Nevada
2000,11,New Jersey
2000,15,New Mexico
2000,58,New York
2000,11,North Carolina
2000,300,North Dakota
2000,18,Ohio
2000,7,Oklahoma
2000,48,Oregon
2000,22,Pennsylvania
2000,235,South Dakota
2000,9,Tennessee
2000,105,Texas
2000,24,Utah
2000,7,Vermont
2000,7,Virginia
2000,52,Washington
2000,7,West Virginia
2000,84,Wisconsin
2000,39,Wyoming
2001,14,Alabama
2001,43,Arizona
2001,58,Arkansas
2001,425,California
2001,26,Colorado
2001,220,Florida
2001,55,Georgia
2001,8,Hawaii
2001,100,Idaho
2001,6,Illinois
2001,7,Indiana
2001,33,Iowa
2001,13,Kansas
2001,3,Kentucky
2001,45,Louisiana
2001,11,Maine
2001,4,Maryland
2001,76,Massachusetts
2001,135,Minnesota
2001,17,Mississippi
2001,25,Missouri
2001,136,Montana
2001,43,Nebraska
2001,9,Nevada
2001,11,New Jersey
2001,10,New Mexico
2001,53,New York
2001,13,North Carolina
2001,280,North Dakota
2001,16,Ohio
2001,4,Oklahoma
2001,44,Oregon
2001,17,Pennsylvania
2001,7,South Carolina
2001,235,South Dakota
2001,8,Tennessee
2001,97,Texas
2001,23,Utah
2001,7,Vermont
2001,9,Virginia
2001,42,Washington
2001,7,West Virginia
2001,67,Wisconsin
2001,38,Wyoming
2002,12,Alabama
2002,38,Arizona
2002,45,Arkansas
2002,470,California
2002,24,Colorado
2002,220,Florida
2002,50,Georgia
2002,7,Hawaii
2002,100,Idaho
2002,9,Illinois
2002,8,Indiana
2002,33,Iowa
2002,17,Kansas
2002,5,Kentucky
2002,35,Louisiana
2002,11,Maine
2002,3,Maryland
2002,72,Massachusetts
2002,117,Minnesota
2002,18,Mississippi
2002,18,Missouri
2002,134,Montana
2002,43,Nebraska
2002,9,Nevada
2002,11,New Jersey
2002,11,New Mexico
2002,60,New York
2002,16,North Carolina
2002,320,North Dakota
2002,18,Ohio
2002,3,Oklahoma
2002,43,Oregon
2002,29,Pennsylvania
2002,5,South Carolina
2002,225,South Dakota
2002,8,Tennessee
2002,114,Texas
2002,22,Utah
2002,7,Vermont
2002,8,Virginia
2002,50,Washington
2002,9,West Virginia
2002,70,Wisconsin
2002,38,Wyoming
2003,13,Alabama
2003,35,Arizona
2003,40,Arkansas
2003,480,California
2003,24,Colorado
2003,210,Florida
2003,52,Georgia
2003,7,Hawaii
2003,100,Idaho
2003,7,Illinois
2003,5,Indiana
2003,32,Iowa
2003,16,Kansas
2003,5,Kentucky
2003,34,Louisiana
2003,8,Maine
2003,2,Maryland
2003,65,Massachusetts
2003,120,Minnesota
2003,21,Mississippi
2003,17,Missouri
2003,145,Montana
2003,45,Nebraska
2003,6,Nevada
2003,10,New Jersey
2003,6,New Mexico
2003,67,New York
2003,10,North Carolina
2003,340,North Dakota
2003,15,Ohio
2003,3,Oklahoma
2003,42,Oregon
2003,27,Pennsylvania
2003,4,South Carolina
2003,215,South Dakota
2003,6,Tennessee
2003,140,Texas
2003,25,Utah
2003,7,Vermont
2003,6,Virginia
2003,58,Washington
2003,8,West Virginia
2003,74,Wisconsin
2003,39,Wyoming
2004,12,Alabama
2004,32,Arizona
2004,40,Arkansas
2004,390,California
2004,23,Colorado
2004,205,Florida
2004,63,Georgia
2004,8,Hawaii
2004,100,Idaho
2004,7,Illinois
2004,7,Indiana
2004,35,Iowa
2004,14,Kansas
2004,5,Kentucky
2004,35,Louisiana
2004,7,Maine
2004,65,Michigan
2004,135,Minnesota
2004,18,Mississippi
2004,16,Missouri
2004,140,Montana
2004,51,Nebraska
2004,14,Nevada
2004,12,New Jersey
2004,8,New Mexico
2004,64,New York
2004,9,North Carolina
2004,390,North Dakota
2004,16,Ohio
2004,42,Oregon
2004,30,Pennsylvania
2004,215,South Dakota
2004,6,Tennessee
2004,116,Texas
2004,23,Utah
2004,6,Vermont
2004,7,Virginia
2004,56,Washington
2004,9,West Virginia
2004,68,Wisconsin
2004,39,Wyoming
2005,13,Alabama
2005,36,Arizona
2005,36,Arkansas
2005,400,California
2005,28,Colorado
2005,160,Florida
2005,59,Georgia
2005,9,Hawaii
2005,95,Idaho
2005,8,Illinois
2005,8,Indiana
2005,28,Iowa
2005,16,Kansas
2005,5,Kentucky
2005,35,Louisiana
2005,8,Maine
2005,65,Michigan
2005,120,Minnesota
2005,16,Mississippi
2005,15,Missouri
2005,130,Montana
2005,40,Nebraska
2005,12,Nevada
2005,12,New Jersey
2005,7,New Mexico
2005,60,New York
2005,10,North Carolina
2005,370,North Dakota
2005,15,Ohio
2005,39,Oregon
2005,28,Pennsylvania
2005,220,South Dakota
2005,7,Tennessee
2005,84,Texas
2005,23,Utah
2005,6,Vermont
2005,8,Virginia
2005,51,Washington
2005,8,West Virginia
2005,64,Wisconsin
2005,40,Wyoming
2006,11,Alabama
2006,30,Arizona
2006,32,Arkansas
2006,380,California
2006,36,Colorado
2006,170,Florida
2006,63,Georgia
2006,10,Hawaii
2006,95,Idaho
2006,10,Illinois
2006,6,Indiana
2006,26,Iowa
2006,14,Kansas
2006,5,Kentucky
2006,30,Louisiana
2006,11,Maine
2006,72,Michigan
2006,125,Minnesota
2006,14,Mississippi
2006,15,Missouri
2006,132,Montana
2006,47,Nebraska
2006,9,Nevada
2006,9,New Jersey
2006,7,New Mexico
2006,60,New York
2006,10,North Carolina
2006,350,North Dakota
2006,14,Ohio
2006,46,Oregon
2006,28,Pennsylvania
2006,225,South Dakota
2006,7,Tennessee
2006,82,Texas
2006,23,Utah
2006,6,Vermont
2006,8,Virginia
2006,49,Washington
2006,5,West Virginia
2006,64,Wisconsin
2006,39,Wyoming
2007,11,Alabama
2007,30,Arizona
2007,28,Arkansas
2007,340,California
2007,31,Colorado
2007,160,Florida
2007,60,Georgia
2007,10,Hawaii
2007,92,Idaho
2007,9,Illinois
2007,8,Indiana
2007,26,Iowa
2007,14,Kansas
2007,4,Kentucky
2007,29,Louisiana
2007,9,Maine
2007,72,Michigan
2007,130,Minnesota
2007,15,Mississippi
2007,14,Missouri
2007,135,Montana
2007,45,Nebraska
2007,10,Nevada
2007,9,New Jersey
2007,6,New Mexico
2007,53,New York
2007,12,North Carolina
2007,420,North Dakota
2007,14,Ohio
2007,46,Oregon
2007,25,Pennsylvania
2007,255,South Dakota
2007,7,Tennessee
2007,105,Texas
2007,28,Utah
2007,5,Vermont
2007,6,Virginia
2007,46,Washington
2007,6,West Virginia
2007,60,Wisconsin
2007,43,Wyoming
2008,9,Alabama
2008,25,Arizona
2008,28,Arkansas
2008,360,California
2008,27,Colorado
2008,150,Florida
2008,65,Georgia
2008,10,Hawaii
2008,90,Idaho
2008,8,Illinois
2008,7,Indiana
2008,24,Iowa
2008,10,Kansas
2008,4,Kentucky
2008,40,Louisiana
2008,7,Maine
2008,71,Michigan
2008,122,Minnesota
2008,14,Mississippi
2008,11,Missouri
2008,134,Montana
2008,36,Nebraska
2008,10,Nevada
2008,9,New Jersey
2008,6,New Mexico
2008,50,New York
2008,12,North Carolina
2008,400,North Dakota
2008,14,Ohio
2008,50,Oregon
2008,23,Pennsylvania
2008,225,South Dakota
2008,7,Tennessee
2008,77,Texas
2008,28,Utah
2008,5,Vermont
2008,6,Virginia
2008,49,Washington
2008,6,West Virginia
2008,58,Wisconsin
2008,39,Wyoming
2009,9,Alabama
2009,20,Arizona
2009,24,Arkansas
2009,355,California
2009,28,Colorado
2009,170,Florida
2009,65,Georgia
2009,10,Hawaii
2009,103,Idaho
2009,8,Illinois
2009,9,Indiana
2009,26,Iowa
2009,9,Kansas
2009,5,Kentucky
2009,37,Louisiana
2009,6,Maine
2009,66,Michigan
2009,122,Minnesota
2009,14,Mississippi
2009,11,Missouri
2009,146,Montana
2009,48,Nebraska
2009,11,New Jersey
2009,7,New Mexico
2009,45,New York
2009,11,North Carolina
2009,450,North Dakota
2009,11,Ohio
2009,55,Oregon
2009,21,Pennsylvania
2009,270,South Dakota
2009,7,Tennessee
2009,89,Texas
2009,26,Utah
2009,5,Vermont
2009,6,Virginia
2009,62,Washington
2009,5,West Virginia
2009,63,Wisconsin
2009,37,Wyoming
2010,9,Alabama
2010,24,Arizona
2010,25,Arkansas
2010,410,California
2010,34,Colorado
2010,200,Florida
2010,55,Georgia
2010,10,Hawaii
2010,97,Idaho
2010,9,Illinois
2010,10,Indiana
2010,27,Iowa
2010,9,Kansas
2010,5,Kentucky
2010,36,Louisiana
2010,5,Maine
2010,71,Michigan
2010,128,Minnesota
2010,16,Mississippi
2010,11,Missouri
2010,157,Montana
2010,41,Nebraska
2010,13,New Jersey
2010,7,New Mexico
2010,45,New York
2010,13,North Carolina
2010,510,North Dakota
2010,18,Ohio
2010,59,Oregon
2010,30,Pennsylvania
2010,265,South Dakota
2010,8,Tennessee
2010,100,Texas
2010,26,Utah
2010,4,Vermont
2010,5,Virginia
2010,71,Washington
2010,5,West Virginia
2010,64,Wisconsin
2010,34,Wyoming
2011,9,Alabama
2011,23,Arizona
2011,22,Arkansas
2011,370,California
2011,31,Colorado
2011,180,Florida
2011,65,Georgia
2011,9,Hawaii
2011,87,Idaho
2011,7,Illinois
2011,8,Indiana
2011,25,Iowa
2011,7,Kansas
2011,4,Kentucky
2011,36,Louisiana
2011,4,Maine
2011,74,Michigan
2011,120,Minnesota
2011,18,Mississippi
2011,8,Missouri
2011,145,Montana
2011,41,Nebraska
2011,11,New Jersey
2011,7,New Mexico
2011,49,New York
2011,14,North Carolina
2011,460,North Dakota
2011,15,Ohio
2011,60,Oregon
2011,24,Pennsylvania
2011,250,Rhode Island
2011,7,Tennessee
2011,78,Texas
2011,23,Utah
2011,4,Vermont
2011,4,Virginia
2011,71,Washington
2011,4,West Virginia
2011,57,Wisconsin
2011,35,Wyoming
2012,8,Alabama
2012,22,Arizona
2012,25,Arkansas
2012,330,California
2012,25,Colorado
2012,193,Florida
2012,59,Georgia
2012,10,Hawaii
2012,92,Idaho
2012,7,Illinois
2012,8,Indiana
2012,37,Iowa
2012,6,Kansas
2012,5,Kentucky
2012,41,Louisiana
2012,4,Maine
2012,73,Michigan
2012,125,Minnesota
2012,18,Mississippi
2012,7,Missouri
2012,145,Montana
2012,43,Nebraska
