Country,Preservation Requests,Preservation Accounts Preserved,Total Data Requests,Total Users/Accounts Requested,Percent Requests Where Some Data Produced,Legal Process Request Total,Legal Process Request Total Accounts,Legal Process Request Total Percentage,Emergency Request Total,Emergency Request Total Accounts,Emergency Request Total Percentage,Search Warrant,Search Warrant Accounts,Search Warrant Percentage,Subpoena,Subpoena Accounts,Subpoena Percentage,Court Order (Other),Court Order (Other) Accounts,Court Order (Other) Percentage,Court Order (18 USC 2703(d)),Court Order (18 USC 2703(d)) Accounts,Court Order (18 USC 2703(d)) Percentage,Pen Register/Trap and Trace,Pen Register/Trap and Trace Accounts,Pen Register/Trap and Trace Percentage,Title III,Title III Accounts,Title III Percentage
Costa Rica,88,0,3,5,0%,2,4,0%,1,1,0%,,,,,,,,,,,,,,,,,,
Croatia,4,0,47,53,93.62%,47,53,93.62%,0,0,0%,,,,,,,,,,,,,,,,,,
Cyprus,8,0,10,14,0%,10,14,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Czech Republic,61,0,55,86,78.18%,43,66,72.09%,12,20,100.00%,,,,,,,,,,,,,,,,,,
Denmark,41,0,34,52,47.05%,33,50,45.45%,1,2,100.00%,,,,,,,,,,,,,,,,,,
Dominican Republic,57,0,111,141,47.75%,104,129,48.08%,7,12,42.86%,,,,,,,,,,,,,,,,,,
Ecuador,23,0,46,58,58.69%,42,54,59.52%,4,4,50.00%,,,,,,,,,,,,,,,,,,
Egypt,2,0,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,
El Salvador,2,0,6,8,0%,6,8,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Estonia,3,0,24,38,62.50%,20,34,60.00%,4,4,75.00%,,,,,,,,,,,,,,,,,,
Finland,8,18,38,44,78.95%,36,42,80.56%,2,2,50.00%,,,,,,,,,,,,,,,,,,
France,307,445,"3,763","4,045",59.77%,"3,713","3,991",59.66%,50,54,68.00%,,,,,,,,,,,,,,,,,,
Georgia,17,18,30,60,53.33%,22,53,59.09%,8,7,37.50%,,,,,,,,,,,,,,,,,,
Germany,249,302,"3,695","4,599",47.52%,"3,621","4,503",47.17%,74,96,64.86%,,,,,,,,,,,,,,,,,,
Ghana,0,0,2,2,0%,1,1,0%,1,1,0%,,,,,,,,,,,,,,,,,,
Greece,61,79,326,398,72.08%,242,311,66.94%,84,87,86.90%,,,,,,,,,,,,,,,,,,
Guatemala,29,73,26,45,88.46%,19,35,84.21%,7,10,100.00%,,,,,,,,,,,,,,,,,,
Honduras,0,0,2,2,0%,1,1,0%,1,1,0%,,,,,,,,,,,,,,,,,,
Hong Kong,20,31,190,279,45.79%,190,279,45.79%,0,0,0%,,,,,,,,,,,,,,,,,,
Hungary,21,23,186,230,46.78%,185,228,47.03%,1,2,0%,,,,,,,,,,,,,,,,,,
India,609,850,"6,324","8,290",53.59%,"6,282","8,221",53.49%,42,69,69.05%,,,,,,,,,,,,,,,,,,
Indonesia,2,3,21,23,33.33%,16,17,25.00%,5,6,60.00%,,,,,,,,,,,,,,,,,,
Iraq,3,3,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Ireland,117,320,89,81,65.17%,88,80,65.91%,1,1,0%,,,,,,,,,,,,,,,,,,
Israel,35,42,432,494,71.53%,315,377,68.57%,117,117,79.49%,,,,,,,,,,,,,,,,,,
Italy,606,909,"1,913","2,877",56.40%,"1,872","2,836",56.09%,41,41,70.73%,,,,,,,,,,,,,,,,,,
Ivory Coast,0,0,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Japan,0,0,11,11,54.55%,6,6,50.00%,5,5,60.00%,,,,,,,,,,,,,,,,,,
Jordan,4,4,25,37,16.00%,15,22,20.00%,10,15,10.00%,,,,,,,,,,,,,,,,,,
Kosovo,1,2,7,14,42.85%,6,12,33.33%,1,2,100.00%,,,,,,,,,,,,,,,,,,
Lebanon,1,1,9,12,44.44%,7,9,28.57%,2,3,100.00%,,,,,,,,,,,,,,,,,,
Lithuania,32,36,40,74,80.00%,37,70,78.38%,3,4,100.00%,,,,,,,,,,,,,,,,,,
Luxembourg,8,8,2,2,100.00%,2,2,100.00%,0,0,0%,,,,,,,,,,,,,,,,,,
Macau,0,0,21,23,80.95%,21,23,80.95%,0,0,0%,,,,,,,,,,,,,,,,,,
Macedonia,0,0,32,71,65.63%,31,70,64.52%,1,1,100.00%,,,,,,,,,,,,,,,,,,
Malaysia,1,2,19,35,68.42%,18,34,66.67%,1,1,100.00%,,,,,,,,,,,,,,,,,,
Maldives,0,0,2,2,0%,2,2,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Malta,0,0,146,169,78.08%,144,167,78.47%,2,2,50.00%,,,,,,,,,,,,,,,,,,
Mexico,32,62,562,890,75.98%,526,839,75.29%,36,51,86.11%,,,,,,,,,,,,,,,,,,
Moldova,0,0,6,12,33.33%,5,11,20.00%,1,1,100.00%,,,,,,,,,,,,,,,,,,
Monaco,0,0,1,2,0%,1,2,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Mongolia,3,3,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Montenegro,0,0,10,11,60.00%,10,11,60.00%,0,0,0%,,,,,,,,,,,,,,,,,,
Nepal,0,0,13,14,61.54%,11,12,54.55%,2,2,100.00%,,,,,,,,,,,,,,,,,,
Netherlands,29,38,450,758,87.11%,422,718,87.44%,28,40,82.14%,,,,,,,,,,,,,,,,,,
New Zealand,17,49,90,111,58.89%,80,101,55.00%,10,10,90.00%,,,,,,,,,,,,,,,,,,
Nicaragua,1,1,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Nigeria,6,6,6,11,50.00%,6,11,50.00%,0,0,0%,,,,,,,,,,,,,,,,,,
Norway,34,48,33,37,60.60%,31,34,58.06%,2,3,100.00%,,,,,,,,,,,,,,,,,,
Pakistan,280,363,719,"1,029",65.09%,712,"1,015",65.45%,7,14,28.57%,,,,,,,,,,,,,,,,,,
Panama,0,0,4,6,75.00%,4,6,75.00%,0,0,0%,,,,,,,,,,,,,,,,,,
Peru,10,22,24,83,75.00%,24,83,75.00%,0,0,0%,,,,,,,,,,,,,,,,,,
Philippines,8,11,3,3,66.67%,2,2,50.00%,1,1,100.00%,,,,,,,,,,,,,,,,,,
Poland,94,120,991,"1,032",44.61%,942,979,43.21%,49,53,71.43%,,,,,,,,,,,,,,,,,,
Portugal,142,163,785,848,48.67%,782,845,48.47%,3,3,100.00%,,,,,,,,,,,,,,,,,,
Qatar,0,0,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Romania,6,7,25,37,48.00%,23,32,47.83%,2,5,50.00%,,,,,,,,,,,,,,,,,,
Russia,1,2,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Saudi Arabia,1,1,1,2,0%,1,2,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Serbia,0,0,45,70,84.44%,42,66,85.71%,3,4,66.67%,,,,,,,,,,,,,,,,,,
Singapore,7,12,233,260,50.21%,233,260,50.21%,0,0,0%,,,,,,,,,,,,,,,,,,
Slovakia,1,1,24,32,66.67%,20,28,60.00%,4,4,100.00%,,,,,,,,,,,,,,,,,,
Slovenia,14,15,14,15,64.29%,14,15,64.29%,0,0,0%,,,,,,,,,,,,,,,,,,
South Africa,1,1,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,
South Korea,26,27,68,97,47.05%,63,92,44.44%,5,5,80.00%,,,,,,,,,,,,,,,,,,
Spain,113,156,811,"1,194",52.28%,809,"1,187",52.29%,2,7,50.00%,,,,,,,,,,,,,,,,,,
Sri Lanka,3,3,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Sudan,2,,5,6,0%,5,6,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Sweden,22,28,303,441,88.44%,295,431,88.47%,8,10,87.50%,,,,,,,,,,,,,,,,,,
Switzerland,43,55,40,42,52.50%,31,33,41.94%,9,9,88.89%,,,,,,,,,,,,,,,,,,
Taiwan,0,0,480,733,38.54%,468,718,38.03%,12,15,58.33%,,,,,,,,,,,,,,,,,,
Thailand,0,0,1,3,0%,1,3,0%,0,0,0%,,,,,,,,,,,,,,,,,,
The Bahamas,0,0,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Tunisia,1,1,1,1,0%,0,0,0%,1,1,0%,,,,,,,,,,,,,,,,,,
Turkey,16,16,993,"1,200",80.67%,984,"1,188",80.59%,9,12,88.89%,,,,,,,,,,,,,,,,,,
Uganda,1,1,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
United Arab Emirates,12,16,12,10,25.00%,9,7,11.11%,3,3,66.67%,,,,,,,,,,,,,,,,,,
United Kingdom,457,718,"5,469","7,199",86.63%,"4,738","6,039",87.78%,731,"1,160",79.18%,,,,,,,,,,,,,,,,,,
United States,31893,56714,"23,854","38,951",80.65%,"22,747","37,361",80.94%,"1,107","1,590",74.53%,"13,742","21,626",81.39%,"6,526","12,447",80.19%,304,348,72.37%,477,937,87.84%,"1,603","1,848",80.41%,95,155,71.58%
Uruguay,1,1,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Vietnam,1,1,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
