Country,Preservation Requests,Preservation Accounts Preserved,Total Data Requests,Total Users/Accounts Requested,Percent Requests Where Some Data Produced,Legal Process Request Total,Legal Process Request Total Accounts,Legal Process Request Total Percentage,Emergency Request Total,Emergency Request Total Accounts,Emergency Request Total Percentage,Search Warrant,Search Warrant Accounts,Search Warrant Percentage,Subpoena,Subpoena Accounts,Subpoena Percentage,Court Order (Other),Court Order (Other) Accounts,Court Order (Other) Percentage,Court Order (18 USC 2703(d)),Court Order (18 USC 2703(d)) Accounts,Court Order (18 USC 2703(d)) Percentage,Pen Register/Trap and Trace,Pen Register/Trap and Trace Accounts,Pen Register/Trap and Trace Percentage,Title III,Title III Accounts,Title III Percentage
Denmark,22,31,35,37,51.00%,33,35,51.06%,2,2,50.00%,,,,,,,,,,,,,,,,,,
Dominican Republic,85,102,115,138,63.00%,96,115,62.01%,19,23,68.00%,,,,,,,,,,,,,,,,,,
Ecuador,22,57,33,53,42.00%,25,44,47.44%,8,9,25.00%,,,,,,,,,,,,,,,,,,
Egypt,8,20,1,2,50.00%,0,0,0%,1,2,100.00%,,,,,,,,,,,,,,,,,,
El Salvador,15,20,10,18,40.00%,10,18,40.00%,0,0,0%,,,,,,,,,,,,,,,,,,
Estonia,1,1,24,29,63.00%,22,26,64.18%,2,3,50.00%,,,,,,,,,,,,,,,,,,
Finland,40,72,45,79,84.00%,43,77,85.58%,2,2,50.00%,,,,,,,,,,,,,,,,,,
France,242,296,"4,700","5,485",74.00%,"4,584","5,343",74.20%,116,142,66.00%,,,,,,,,,,,,,,,,,,
Georgia,8,9,8,9,75.00%,6,7,83.33%,2,2,50.00%,,,,,,,,,,,,,,,,,,
Germany,348,483,"5,211","6,251",59.00%,"5,040","6,005",58.29%,171,246,80.00%,,,,,,,,,,,,,,,,,,
Ghana,1,8,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Greece,220,314,363,546,71.00%,278,455,65.50%,85,91,89.00%,,,,,,,,,,,,,,,,,,
Guatemala,43,114,66,738,62.00%,50,712,53.68%,16,26,88.00%,,,,,,,,,,,,,,,,,,
Honduras,0,0,2,2,50.00%,1,1,0%,1,1,100.00%,,,,,,,,,,,,,,,,,,
Hong Kong,49,71,123,167,69.00%,122,166,69.57%,1,1,0%,,,,,,,,,,,,,,,,,,
Hungary,24,31,234,390,54.00%,230,360,54.50%,4,30,25.00%,,,,,,,,,,,,,,,,,,
Iceland,5,5,4,4,50.00%,3,3,33.33%,1,1,100.00%,,,,,,,,,,,,,,,,,,
India,1166,1629,"9,853","13,752",54.00%,"9,690","13,490",54.30%,163,262,36.00%,,,,,,,,,,,,,,,,,,
Indonesia,10,10,11,31,9.00%,6,16,0.17%,5,15,20.00%,,,,,,,,,,,,,,,,,,
Iraq,3,3,5,5,0%,4,4,0%,1,1,0%,,,,,,,,,,,,,,,,,,
Ireland,177,294,84,95,75.00%,77,84,79.18%,7,11,29.00%,,,,,,,,,,,,,,,,,,
Israel,86,106,367,509,77.00%,216,298,75.60%,151,211,79.00%,,,,,,,,,,,,,,,,,,
Italy,718,1107,"2,264","4,168",61.00%,"2,152","4,006",60.06%,112,162,79.00%,,,,,,,,,,,,,,,,,,
Ivory Coast,0,0,2,3,0%,1,2,0%,1,1,0%,,,,,,,,,,,,,,,,,,
Jamaica,4,4,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Japan,13,18,6,8,33.00%,2,4,1.00%,4,4,50.00%,,,,,,,,,,,,,,,,,,
Jordan,7,7,78,109,64.00%,32,33,49.62%,46,76,74.00%,,,,,,,,,,,,,,,,,,
Kazakhstan,7,7,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Kenya,7,7,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Kosovo,1,1,23,29,52.00%,9,10,66.00%,14,19,43.00%,,,,,,,,,,,,,,,,,,
Kuwait,0,0,4,3,0%,4,3,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Latvia,0,0,12,11,50.00%,12,11,50.00%,0,0,0%,,,,,,,,,,,,,,,,,,
Lebanon,0,0,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Liechtenstein,0,0,1,1,100.00%,1,1,100.00%,0,0,0%,,,,,,,,,,,,,,,,,,
Lithuania,34,45,60,128,88.00%,55,120,86.91%,5,8,100.00%,,,,,,,,,,,,,,,,,,
Luxembourg,18,26,12,15,80.00%,11,14,78.18%,1,1,100.00%,,,,,,,,,,,,,,,,,,
Macau,18,26,9,9,89.00%,9,9,89.00%,0,0,0%,,,,,,,,,,,,,,,,,,
Macedonia,1,1,49,89,51.00%,49,89,51.00%,0,0,0%,,,,,,,,,,,,,,,,,,
Madagascar,1,1,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Malaysia,5,9,25,28,64.00%,23,26,69.57%,2,2,0%,,,,,,,,,,,,,,,,,,
Maldives,1,1,37,52,76.00%,36,49,78.11%,1,3,0%,,,,,,,,,,,,,,,,,,
Mali,1,1,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Malta,2,2,146,161,62.00%,140,155,63.24%,6,6,33.00%,,,,,,,,,,,,,,,,,,
Mauritius,2,5,1,0,0%,0,0,0%,1,0,0%,,,,,,,,,,,,,,,,,,
Mexico,156,422,938,"1,674",65.00%,834,"1,493",67.00%,104,181,49.00%,,,,,,,,,,,,,,,,,,
Moldova,1,1,7,13,14.00%,4,5,24.50%,3,8,0%,,,,,,,,,,,,,,,,,,
Monaco,0,0,1,1,100.00%,0,0,0%,1,1,100.00%,,,,,,,,,,,,,,,,,,
Mongolia,0,0,8,12,0%,8,12,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Montenegro,0,0,8,8,100.00%,8,8,100.00%,0,0,0%,,,,,,,,,,,,,,,,,,
Morocco,0,0,6,6,67.00%,6,6,67.00%,0,0,0%,,,,,,,,,,,,,,,,,,
Myanmar,0,0,3,4,0%,2,2,0%,1,2,0%,,,,,,,,,,,,,,,,,,
Nepal,0,0,29,43,52.00%,27,41,52.15%,2,2,50.00%,,,,,,,,,,,,,,,,,,
Netherlands,21,36,804,"1,359",92.00%,771,"1,313",92.56%,33,46,79.00%,,,,,,,,,,,,,,,,,,
New Zealand,20,33,49,73,61.00%,44,69,61.11%,5,4,60.00%,,,,,,,,,,,,,,,,,,
Nigeria,0,0,5,5,80.00%,5,5,80.00%,0,0,0%,,,,,,,,,,,,,,,,,,
Norway,48,66,29,52,55.00%,21,39,42.43%,8,13,88.00%,,,,,,,,,,,,,,,,,,
Oman,0,0,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Pakistan,399,613,"1,050","1,540",63.00%,"1,039","1,512",63.38%,11,28,27.00%,,,,,,,,,,,,,,,,,,
Palestine,1,1,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Panama,2,2,1,1,100.00%,1,1,100.00%,0,0,0%,,,,,,,,,,,,,,,,,,
Paraguay,0,0,2,2,50.00%,1,1,0%,1,1,100.00%,,,,,,,,,,,,,,,,,,
Peru,72,113,52,85,75.00%,45,77,73.29%,7,8,86.00%,,,,,,,,,,,,,,,,,,
Philippines,67,137,22,40,41.00%,6,23,33.00%,16,17,44.00%,,,,,,,,,,,,,,,,,,
Poland,162,231,"1,476","1,896",53.00%,"1,313","1,695",51.76%,163,201,63.00%,,,,,,,,,,,,,,,,,,
Portugal,125,161,794,"1,089",45.00%,793,"1,089",45.06%,1,0,0%,,,,,,,,,,,,,,,,,,
Qatar,1,6,2,2,0%,2,2,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Romania,20,42,54,78,57.00%,50,74,59.56%,4,4,25.00%,,,,,,,,,,,,,,,,,,
Russia,5,7,15,26,0%,15,26,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Saudi Arabia,3,7,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Senegal,0,0,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Serbia,2,2,71,90,80.00%,69,88,79.42%,2,2,100.00%,,,,,,,,,,,,,,,,,,
Singapore,8,15,204,263,59.00%,201,259,58.39%,3,4,100.00%,,,,,,,,,,,,,,,,,,
Slovakia,1,1,34,56,65.00%,31,53,64.81%,3,3,67.00%,,,,,,,,,,,,,,,,,,
Slovenia,28,43,25,36,72.00%,24,35,70.83%,1,1,100.00%,,,,,,,,,,,,,,,,,,
South Africa,3,3,2,4,100.00%,1,3,100.00%,1,1,100.00%,,,,,,,,,,,,,,,,,,
South Korea,57,88,110,146,51.00%,106,141,51.04%,4,5,50.00%,,,,,,,,,,,,,,,,,,
Spain,154,277,"1,214","2,080",56.00%,"1,209","2,075",55.90%,5,5,80.00%,,,,,,,,,,,,,,,,,,
Sri Lanka,2,3,2,2,0%,1,1,0%,1,1,0%,,,,,,,,,,,,,,,,,,
Sudan,5,5,10,10,0%,9,9,0%,1,1,0%,,,,,,,,,,,,,,,,,,
Sweden,53,106,317,470,88.00%,292,426,88.34%,25,44,84.00%,,,,,,,,,,,,,,,,,,
Switzerland,57,74,57,64,46.00%,45,51,40.40%,12,13,67.00%,,,,,,,,,,,,,,,,,,
Taiwan,4,4,493,851,63.00%,483,837,62.86%,10,14,70.00%,,,,,,,,,,,,,,,,,,
Tanzania,2,2,1,1,0%,0,0,0%,1,1,0%,,,,,,,,,,,,,,,,,,
Thailand,3,4,5,15,0%,5,15,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Timor-Leste,1,1,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,1,2,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Turkey,2,2,"1,041","1,367",71.00%,"1,024","1,341",70.72%,17,26,88.00%,,,,,,,,,,,,,,,,,,
Ukraine,2,2,27,32,70.00%,3,7,2.00%,24,25,79.00%,,,,,,,,,,,,,,,,,,
United Arab Emirates,4,9,13,25,46.00%,1,2,2.00%,12,23,50.00%,,,,,,,,,,,,,,,,,,
United Kingdom,443,787,"6,845","8,167",90.00%,"6,091","7,530",92.23%,754,637,72.00%,,,,,,,,,,,,,,,,,,
United States,48836,84497,"32,716","52,280",85.00%,"30,852","49,824",85.54%,"1,864","2,456",76.00%,"19,393","30,786",87.00%,"7,632","13,622",81.00%,243,315,65.00%,910,"1,906",89.00%,"2,544","3,037",84.00%,130,158,85.00%
Uruguay,0,0,30,62,40.00%,7,13,30.14%,23,49,43.00%,,,,,,,,,,,,,,,,,,
Vietnam,0,0,4,5,25.00%,2,3,0%,2,2,50.00%,,,,,,,,,,,,,,,,,,
