Country,Preservation Requests,Preservation Accounts Preserved,Total Data Requests,Total Users/Accounts Requested,Percent Requests Where Some Data Produced,Legal Process Request Total,Legal Process Request Total Accounts,Legal Process Request Total Percentage,Emergency Request Total,Emergency Request Total Accounts,Emergency Request Total Percentage,Search Warrant,Search Warrant Accounts,Search Warrant Percentage,Subpoena,Subpoena Accounts,Subpoena Percentage,Court Order (Other),Court Order (Other) Accounts,Court Order (Other) Percentage,Court Order (18 USC 2703(d)),Court Order (18 USC 2703(d)) Accounts,Court Order (18 USC 2703(d)) Percentage,Pen Register/Trap and Trace,Pen Register/Trap and Trace Accounts,Pen Register/Trap and Trace Percentage,Title III,Title III Accounts,Title III Percentage,NSLs,NSLs Accounts
El Salvador,8,8,16,23,56%,13,13,54%,3,10,0.67,,,,,,,,,,,,,,,,,,,,
Estonia,5,5,55,143,67%,47,135,66%,8,8,0.75,,,,,,,,,,,,,,,,,,,,
Finland,50,66,74,107,92%,69,100,91%,5,7,1,,,,,,,,,,,,,,,,,,,,
France,160,249,4249,4900,70%,4165,4806,69%,84,94,0.77,,,,,,,,,,,,,,,,,,,,
Georgia,28,34,16,20,94%,13,15,92%,3,5,1,,,,,,,,,,,,,,,,,,,,
Germany,199,326,5067,6493,60%,4914,6297,59%,153,196,0.85,,,,,,,,,,,,,,,,,,,,
Ghana,0,0,1,1,0%,0,0,0%,1,1,0,,,,,,,,,,,,,,,,,,,,
Greece,235,345,404,571,74%,293,457,67%,111,114,0.92,,,,,,,,,,,,,,,,,,,,
Guatemala,37,101,82,208,73%,45,138,60%,37,70,0.89,,,,,,,,,,,,,,,,,,,,
Hong Kong,40,60,153,287,65%,146,277,66%,7,10,0.43,,,,,,,,,,,,,,,,,,,,
Hungary,17,17,271,334,58%,267,329,58%,4,5,0.5,,,,,,,,,,,,,,,,,,,,
Iceland,1,1,0,0,0%,0,0,0%,0,0,0,,,,,,,,,,,,,,,,,,,,
India,1284,1700,12171,17262,53%,11874,16740,53%,297,522,0.4,,,,,,,,,,,,,,,,,,,,
Indonesia,6,6,19,28,37%,7,9,0%,12,19,0.58,,,,,,,,,,,,,,,,,,,,
Iraq,0,0,5,5,0%,2,2,0%,3,3,0,,,,,,,,,,,,,,,,,,,,
Ireland,152,227,52,87,77%,50,85,80%,2,2,0,,,,,,,,,,,,,,,,,,,,
Israel,163,179,470,586,79%,227,270,78%,243,316,0.8,,,,,,,,,,,,,,,,,,,,
Italy,554,840,2059,3979,66%,1991,3891,65%,68,88,0.78,,,,,,,,,,,,,,,,,,,,
Japan,2,2,12,22,67%,1,11,0%,11,11,0.73,,,,,,,,,,,,,,,,,,,,
Jordan,0,0,70,77,61%,37,41,57%,33,36,0.67,,,,,,,,,,,,,,,,,,,,
Kenya,0,0,8,8,50%,2,1,50%,6,7,0.5,,,,,,,,,,,,,,,,,,,,
Kosovo,0,0,16,34,50%,13,29,46%,3,5,0.67,,,,,,,,,,,,,,,,,,,,
Kuwait,0,0,9,9,0%,8,8,0%,1,1,0,,,,,,,,,,,,,,,,,,,,
Latvia,8,8,31,32,68%,31,32,68%,0,0,0,,,,,,,,,,,,,,,,,,,,
Lebanon,1,1,6,5,33%,2,2,0%,4,3,0.5,,,,,,,,,,,,,,,,,,,,
Liechtenstein,0,0,1,1,0%,1,1,0%,0,0,0,,,,,,,,,,,,,,,,,,,,
Lithuania,12,13,72,100,85%,69,97,86%,3,3,0.67,,,,,,,,,,,,,,,,,,,,
Luxembourg,25,44,4,4,50%,4,4,50%,0,0,0,,,,,,,,,,,,,,,,,,,,
Macau,0,0,8,8,100%,8,8,100%,0,0,0,,,,,,,,,,,,,,,,,,,,
Macedonia,1,1,41,61,66%,41,61,66%,0,0,0,,,,,,,,,,,,,,,,,,,,
Madagascar,1,1,2,2,0%,2,2,0%,0,0,0,,,,,,,,,,,,,,,,,,,,
Malaysia,3,3,20,23,70%,18,19,67%,2,4,1,,,,,,,,,,,,,,,,,,,,
Maldives,1,1,12,12,75%,12,12,75%,0,0,0,,,,,,,,,,,,,,,,,,,,
Malta,0,0,149,161,72%,146,157,72%,3,4,1,,,,,,,,,,,,,,,,,,,,
Mexico,130,369,1084,1944,76%,902,1671,78%,182,273,0.65,,,,,,,,,,,,,,,,,,,,
Monaco,0,0,1,1,0%,1,1,0%,0,0,0,,,,,,,,,,,,,,,,,,,,
Mongolia,1,1,2,3,0%,1,2,0%,1,1,0,,,,,,,,,,,,,,,,,,,,
Montenegro,1,1,13,16,77%,11,14,73%,2,2,1,,,,,,,,,,,,,,,,,,,,
Morocco,1,2,22,26,59%,21,24,57%,1,2,1,,,,,,,,,,,,,,,,,,,,
Myanmar,0,0,1,0,0%,1,0,0%,0,0,0,,,,,,,,,,,,,,,,,,,,
Nepal,0,0,47,67,38%,43,63,37%,4,4,0.5,,,,,,,,,,,,,,,,,,,,
Netherlands,37,52,675,1230,91%,632,1183,91%,43,47,0.81,,,,,,,,,,,,,,,,,,,,
New Zealand,41,71,73,104,66%,56,86,59%,17,18,0.88,,,,,,,,,,,,,,,,,,,,
Nigeria,0,0,2,3,50%,2,3,50%,0,0,0,,,,,,,,,,,,,,,,,,,,
Norway,32,43,41,58,61%,28,43,50%,13,15,0.85,,,,,,,,,,,,,,,,,,,,
Oman,0,0,1,1,0%,1,1,0%,0,0,0,,,,,,,,,,,,,,,,,,,,
Pakistan,464,598,1320,1800,59%,1281,1753,59%,39,47,0.56,,,,,,,,,,,,,,,,,,,,
Palestine,1,1,10,12,30%,10,12,30%,0,0,0,,,,,,,,,,,,,,,,,,,,
Panama,2,4,11,15,36%,11,15,36%,0,0,0,,,,,,,,,,,,,,,,,,,,
Paraguay,2,2,10,13,50%,8,11,50%,2,2,0.5,,,,,,,,,,,,,,,,,,,,
Peru,96,146,58,118,60%,47,91,64%,11,27,0.45,,,,,,,,,,,,,,,,,,,,
Philippines,121,178,36,50,44%,4,7,0%,32,43,0.5,,,,,,,,,,,,,,,,,,,,
Poland,125,164,1476,2169,53%,1382,2046,51%,94,123,0.82,,,,,,,,,,,,,,,,,,,,
Portugal,82,99,679,902,52%,679,902,52%,0,0,0,,,,,,,,,,,,,,,,,,,,
Qatar,2,3,5,5,0%,5,5,0%,0,0,0,,,,,,,,,,,,,,,,,,,,
Romania,10,28,59,177,73%,53,170,74%,6,7,0.67,,,,,,,,,,,,,,,,,,,,
Russia,0,0,6,7,0%,5,7,0%,1,0,0,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,0,0,1,1,100%,0,0,0%,1,1,1,,,,,,,,,,,,,,,,,,,,
Senegal,0,0,1,1,0%,1,1,0%,0,0,0,,,,,,,,,,,,,,,,,,,,
Serbia,0,0,77,102,81%,72,97,79%,5,5,1,,,,,,,,,,,,,,,,,,,,
Singapore,2,2,244,310,70%,241,307,70%,3,3,0.67,,,,,,,,,,,,,,,,,,,,
Slovakia,6,7,13,16,92%,4,6,75%,9,10,1,,,,,,,,,,,,,,,,,,,,
Slovenia,27,30,24,29,50%,24,29,50%,0,0,0,,,,,,,,,,,,,,,,,,,,
South Africa,2,14,8,13,88%,2,6,100%,6,7,0.83,,,,,,,,,,,,,,,,,,,,
South Korea,43,57,162,259,53%,156,253,54%,6,6,0.33,,,,,,,,,,,,,,,,,,,,
Spain,143,255,1151,1965,62%,1140,1940,61%,11,25,0.91,,,,,,,,,,,,,,,,,,,,
Sri Lanka,5,6,6,7,33%,6,7,33%,0,0,0,,,,,,,,,,,,,,,,,,,,
Sudan,3,3,11,12,0%,11,12,0%,0,0,0,,,,,,,,,,,,,,,,,,,,
Sweden,73,101,333,450,89%,321,429,89%,12,21,0.92,,,,,,,,,,,,,,,,,,,,
Switzerland,41,46,75,107,60%,59,84,51%,16,23,0.94,,,,,,,,,,,,,,,,,,,,
Taiwan,1,1,557,1052,82%,546,1038,81%,11,14,1,,,,,,,,,,,,,,,,,,,,
Tanzania,1,1,1,1,0%,0,0,0%,1,1,0,,,,,,,,,,,,,,,,,,,,
Thailand,1,1,6,7,17%,4,5,25%,2,2,0,,,,,,,,,,,,,,,,,,,,
Turkey,1,1,440,625,81%,426,605,81%,14,20,0.64,,,,,,,,,,,,,,,,,,,,
Ukraine,1,1,29,30,66%,3,2,0%,26,28,0.73,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,0,0,8,5,25%,4,3,25%,4,2,0.25,,,,,,,,,,,,,,,,,,,,
United Kingdom,379,627,7455,9719,92%,6056,7447,92%,1399,2272,0.89,,,,,,,,,,,,,,,,,,,,
United States,47127,77860,32742,53625,85%,30934,51246,86%,1808,2379,0.78,"19,659","31,801",87%,"7,203","13,672",81%,243,277,56%,676,"1,379",86%,"3,032","3,952",92%,122,165,93%,0-499,0-499
Uruguay,1,1,20,25,75%,8,10,88%,12,15,0.67,,,,,,,,,,,,,,,,,,,,
Vietnam,0,0,8,12,38%,5,9,0%,3,3,1,,,,,,,,,,,,,,,,,,,,
